Úroveò,Název funkce,Poèet volání,% uplynulého celkového èasu,% uplynulého výhradního èasu,Prùmìrný uplynulý celkový èas,Prùmìrný uplynulý výhradní èas,Název modulu,
7,"_RTC_CheckEsp",1,"0,01","0,01","0,00","0,00","Profiling.exe",
6,"__local_stdio_scanf_options",1,"0,01","0,00","0,00","0,00","Profiling.exe",
7,"__CheckForDebuggerJustMyCode",1,"0,00","0,00","0,00","0,00","Profiling.exe",
7,"_RTC_CheckEsp",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"__scrt_initialize_crt",1,"0,82","0,59","0,03","0,02","Profiling.exe",
5,"__isa_available_init",1,"0,23","0,23","0,01","0,01","Profiling.exe",
6,"__security_check_cookie",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"__scrt_is_managed_app",1,"0,06","0,03","0,00","0,00","Profiling.exe",
5,"GetModuleHandleW",1,"0,03","0,03","0,00","0,00","KERNEL32.DLL",
4,"__scrt_acquire_startup_lock",1,"0,01","0,01","0,00","0,00","Profiling.exe",
5,"__scrt_is_ucrt_dll_in_use",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"__scrt_release_startup_lock",1,"0,00","0,00","0,00","0,00","Profiling.exe",
5,"__scrt_is_ucrt_dll_in_use",1,"0,00","0,00","0,00","0,00","Profiling.exe",
4,"_RTC_Terminate",1,"0,00","0,00","0,00","0,00","Profiling.exe",
3,"__security_init_cookie",1,"0,01","0,01","0,00","0,00","Profiling.exe",
